City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
445,El Tigre,VE,85.41,broken clouds,8.8875,-64.2454,Hotel Santa Cruz
446,Parambu,BR,76.91,few clouds,-6.2111,-40.6944,Recanto das Amoras
448,Mitsamiouli,KM,81.9,overcast clouds,-11.3847,43.2844,Foyer ADM
454,Freetown,SL,76.51,scattered clouds,8.484,-13.2299,The Country Lodge Hotel
457,Belmonte,BR,81.1,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
458,Namatanai,PG,80.6,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
459,Tagusao,PH,77.95,scattered clouds,9.1924,117.8141,Green Villa beach resort
460,Vung Tau,VN,79.25,overcast clouds,10.346,107.0843,Seaside Resort
462,Bowen,AU,86.22,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
464,Luanda,AO,80.11,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
465,Fare,PF,81.91,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
466,Tigre,AR,83.21,clear sky,-34.426,-58.5796,Puerto Delta Apartamentos
467,Sambava,MG,76.64,light rain,-14.2667,50.1667,Melrose
469,Pese,PA,83.8,broken clouds,7.9,-80.6167,Hotel Pesé
472,Bonthe,SL,78.03,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
481,Chau Doc,VN,77.05,overcast clouds,10.7,105.1167,JADE AND SAPPHIRE GUESTHOUSE
485,Gurupi,BR,77.2,light rain,-11.7292,-49.0686,Via Norte Hotel
486,Labuhan,ID,77.29,moderate rain,-6.8844,112.2051,DoubleFAG
491,Bengkulu,ID,75.16,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
494,Enugu,NG,87.19,scattered clouds,6.4402,7.4943,Bestchoice Hotel & Suites Enugu
500,Sikasso,ML,88.34,overcast clouds,10.9167,-7.0,
502,Barra Do Corda,BR,75.51,overcast clouds,-5.5,-45.25,Belchior Palace Hotel
504,Sarangani,PH,81.59,broken clouds,5.4033,125.4636,Ballistic Islet
505,Lorengau,PG,81.19,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
507,Thoen,TH,75.72,broken clouds,17.6129,99.2161,Nakornthoen Hotel
509,Kailua,US,82.38,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
511,Touros,BR,81.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
512,Teahupoo,PF,78.76,scattered clouds,-17.8333,-149.2667,Vanira Lodge
518,Faanui,PF,82.08,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
520,Birao,CF,81.0,broken clouds,10.2849,22.7882,
521,Monrovia,LR,78.91,light rain,6.3005,-10.7969,Sunset Inn
523,Mapiripan,CO,78.15,moderate rain,2.8892,-72.1256,Monserrate
524,Berbera,SO,75.74,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
527,Pundaguitan,PH,80.56,scattered clouds,6.3711,126.1689,Leonardo Family Beach House 1
529,Manokwari,ID,77.88,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
533,Itarema,BR,79.59,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
540,Kahului,US,85.26,few clouds,20.8947,-156.47,Maui Seaside Hotel
542,Manta,EC,82.18,scattered clouds,-0.95,-80.7333,Balandra Hotel
545,Iguape,BR,79.65,broken clouds,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
548,Pascagoula,US,75.72,clear sky,30.3658,-88.5561,Regency Inn
549,Maine-Soroa,NE,76.75,scattered clouds,13.2114,12.0241,Complexe
552,Portel,BR,77.23,broken clouds,-1.9356,-50.8211,Kitnet do Marcos
